fin	5685380
sme	20000
fra	76096430
ukr	32600000
san	208100
heb	4380000
uig	10100000
vie	65800000
ita	57700000
mlt	393000
ind	198000000
cmn	1067000000
bre	206000
lat	0
lav	1802460
fao	48000
hrv	4200000
cop	0
tha	60200000
cat	9255420
spa	436667750
nob	5080000
nno	5080000
amh	25600000
srp	6340000
yor	20900000
ces	10400000
lit	2800000
kaz	9980000
jpn	127000000
rus	153612510
bel	2230000
urd	109100000
swe	12362250
bam	14000000
slv	1910000
slk	4750000
gle	1138000
glg	2340000
mar	74700000
tur	71463470
hye	2960000
deu	77800000
pcm	30000000
kom	219100
kor	77233270
chu	0
afr	17160000
eus	468000
dan	5380000
est	1217540
bul	7020000
bua	329100
kur	25353230
eng	371959910
ell	13134490
hsb	13300
ron	24150840
yue	62000000
hun	9840000
nld	15700000
por	218765470
pol	37400000
wbp	2510
fas	61929420
tel	79244300
hin	260129750
ara	291783650
tgl	24628290
swl	10000
grc	0
tam	68700000
myv	36700
fro	0
akk	0
got	0
