fin	5685380
sme	20000
fra	229582200
ukr	34710100
san	208100
heb	4380000
uig	10100000
vie	65800000
ita	66455110
mlt	393000
ind	198000000
cmn	1067000000
bre	206000
lat	0
lav	1802460
fao	69000
hrv	6506400
cop	0
tha	60200000
cat	9255420
spa	527976150
nob	5080000
nno	5080000
amh	25600000
srp	6340000
yor	21043700
ces	13217190
lit	2800000
kaz	12771100
jpn	128204860
rus	267912330
bel	2230000
urd	163095930
swe	12362250
bam	14096380
slv	2104630
slk	6839000
gle	1138000
glg	2340000
mar	74700000
tur	71463470
hye	5169640
deu	129502820
pcm	30000000
kom	219100
kor	48400000
chu	0
afr	17518390
eus	468000
dan	5380000
est	1217540
bul	7020000
bua	329100
kur	25353230
eng	983522920
ell	13134490
hsb	13300
ron	24150840
yue	72893210
hun	12596540
nld	22163020
por	229945470
pol	40895370
wbp	2510
fas	61929420
tel	79244300
hin	381359750
ara	291783650
tgl	24628290
swl	10000
grc	0
tam	75965790
myv	36700
fro	0
akk	0
got	0
