0.13 & 0.00 \\ 
0.18 & 0.00 \\ 
0.22 & 0.01 \\ 
0.25 & 0.01 \\ 
0.29 & 0.01 \\ 
0.31 & 0.01 \\ 
0.34 & 0.01 \\ 
0.35 & 0.02 \\ 
0.37 & 0.02 \\ 
0.38 & 0.02 \\ 
0.39 & 0.02 \\ 
0.40 & 0.02 \\ 
0.41 & 0.02 \\ 
0.42 & 0.03 \\ 
0.43 & 0.03 \\ 
0.44 & 0.03 \\ 
0.45 & 0.03 \\ 
0.46 & 0.03 \\ 
0.47 & 0.04 \\ 
0.48 & 0.04 \\ 
0.49 & 0.04 \\ 
0.50 & 0.04 \\ 
0.51 & 0.04 \\ 
0.51 & 0.05 \\ 
0.52 & 0.05 \\ 
0.53 & 0.05 \\ 
0.54 & 0.05 \\ 
0.54 & 0.06 \\ 
0.55 & 0.06 \\ 
0.56 & 0.06 \\ 
0.57 & 0.06 \\ 
0.57 & 0.07 \\ 
0.58 & 0.07 \\ 
0.59 & 0.07 \\ 
0.59 & 0.08 \\ 
0.60 & 0.08 \\ 
0.61 & 0.09 \\ 
0.62 & 0.09 \\ 
0.62 & 0.10 \\ 
0.63 & 0.10 \\ 
0.63 & 0.11 \\ 
0.64 & 0.11 \\ 
0.64 & 0.12 \\ 
0.65 & 0.12 \\ 
0.65 & 0.13 \\ 
0.65 & 0.14 \\ 
0.66 & 0.14 \\ 
0.66 & 0.15 \\ 
0.67 & 0.16 \\ 
0.67 & 0.17 \\ 
0.67 & 0.18 \\ 
0.68 & 0.18 \\ 
0.68 & 0.19 \\ 
0.68 & 0.20 \\ 
0.68 & 0.21 \\ 
0.69 & 0.21 \\ 
0.69 & 0.22 \\ 
0.69 & 0.23 \\ 
0.69 & 0.24 \\ 
0.69 & 0.25 \\ 
0.69 & 0.26 \\ 
0.69 & 0.27 \\ 
0.69 & 0.28 \\ 
0.69 & 0.29 \\ 
0.69 & 0.30 \\ 
0.69 & 0.31 \\ 
0.70 & 0.31 \\ 
0.70 & 0.32 \\ 
0.70 & 0.33 \\ 
0.70 & 0.34 \\ 
0.70 & 0.35 \\ 
0.70 & 0.36 \\ 
0.70 & 0.37 \\ 
0.70 & 0.38 \\ 
0.70 & 0.39 \\ 
0.70 & 0.40 \\ 
0.70 & 0.41 \\ 
0.70 & 0.42 \\ 
0.70 & 0.43 \\ 
0.70 & 0.44 \\ 
0.70 & 0.45 \\ 
0.70 & 0.46 \\ 
0.70 & 0.47 \\ 
0.70 & 0.48 \\ 
0.70 & 0.49 \\ 
0.70 & 0.50 \\ 
0.70 & 0.51 \\ 
0.70 & 0.52 \\ 
0.70 & 0.53 \\ 
0.70 & 0.54 \\ 
0.70 & 0.55 \\ 
0.70 & 0.56 \\ 
0.70 & 0.57 \\ 
0.70 & 0.58 \\ 
0.70 & 0.59 \\ 
0.70 & 0.60 \\ 
0.70 & 0.61 \\ 
0.70 & 0.62 \\ 
0.70 & 0.63 \\ 
0.70 & 0.64 \\ 
0.70 & 0.65 \\ 
0.70 & 0.66 \\ 
0.70 & 0.67 \\ 
0.70 & 0.68 \\ 
0.70 & 0.69 \\ 
0.70 & 0.70 \\ 
